districtid,vaccinationratio,populationratio,ratioofratios
NL_Kiphire,0.5348858872845832,0.9562252180808882,0.5593722871669095
JK_Srinagar,0.5626631739603878,0.8995291219491218,0.625508569129141
TN_Kancheepuram,0.6567557699329324,0.986257040633734,0.6659073069946596
NL_Phek,0.6523625843780135,0.9514228054882199,0.6856705353444367
MN_Senapati,0.6448021054762628,0.9373370046457467,0.6879085134593153
MN_Ukhrul,0.6486050540653564,0.9425874701746236,0.6881112624435756
NL_Tuensang,0.6416306752343832,0.9286786418529819,0.6909071085711036
CT_Bijapur,0.7004333202024181,0.9837093803191282,0.7120327753458937
MP_Singrauli,0.6646792514413216,0.9201466013294505,0.722362339306559
MN_Chandel,0.6802244039270687,0.9332788050255434,0.7288544433498105
AR_Upper Dibang Valley,0.5933609958506224,0.8133212505663797,0.7295530461517123
UP_Gautam Buddha Nagar,0.6265900984987518,0.8513694459983779,0.7359790763502988
JK_Ramban,0.6679152130020048,0.9024287208647372,0.7401307134396014
CT_Narayanpur,0.7375192080906264,0.9944653657423257,0.7416238247172138
HR_Gurugram,0.6370832798752118,0.8543535490822711,0.7456904469578823
BR_Gopalganj,0.7627691355861439,1.0210465532719186,0.7470463840672777
HP_Solan,0.6596873538918139,0.8795545968635224,0.7500243375956972
JH_Saraikela-Kharsawan,0.7194765538018206,0.9563454816306063,0.7523186626814873
NL_Peren,0.68966671128363,0.9153357203202317,0.7534576614603754
AR_Papum Pare,0.7474815062637077,0.9799174721356327,0.7628004679155745
JK_Shopiyan,0.7342602861516182,0.9505788393903869,0.7724349162059032
PB_S.A.S. Nagar,0.6803393743866494,0.8793053605742434,0.773723674267542
MH_Ratnagiri,0.871943893446946,1.1219608971503874,0.7771606797184758
UP_Deoria,0.7934959624001148,1.016959405139466,0.780263163298337
JH_Latehar,0.7548508603674978,0.9665806430669848,0.7809496970395942
AS_Dima Hasao,0.7298030714188257,0.9322936409090089,0.7828038714360961
PB_Ludhiana,0.6855787933206828,0.8731711260638093,0.7851597159553605
GJ_Bharuch,0.7337346470583364,0.9250409888458211,0.7931914973560482
UP_Kushinagar,0.7640025936344002,0.9606359543578165,0.7953091805158746
JK_Bandipora,0.7101905183872397,0.8886363636363637,0.7991913761902442
AR_Tirap,0.7543924886120665,0.9438754253176863,0.7992500581929609
JK_Budgam,0.7173051759232335,0.893636585175899,0.8026810762028534
JK_Pulwama,0.7353419457598345,0.9123467911445964,0.805989512866376
JK_Reasi,0.7189745751011837,0.8903346729864653,0.8075329389222983
JK_Kulgam,0.7691977213254699,0.9505698005698006,0.8091964639150006
JK_Kishtwar,0.7451517809287141,0.9198269046727416,0.8101000059286438
JH_Bokaro,0.7489637189440443,0.9223681426388903,0.8120008533699604
HR_Faridabad,0.714432803034765,0.8732163004212771,0.818162467523902
UP_Lakhimpur Kheri,0.7334411457868514,0.8939655338884422,0.820435596209884
UP_Sonbhadra,0.7548338694460812,0.9175070829695762,0.822700863521411
NL_Zunheboto,0.8052920219366718,0.9764522515691478,0.8247121358392862
GJ_Valsad,0.7614441589642631,0.9224929048197633,0.825420070968496
PB_Bathinda,0.7171720613287904,0.868313515797292,0.8259367708566389
GJ_Kutch,0.7499720322621389,0.9078147267758816,0.8261289557679643
OR_Jharsuguda,0.7904053158609313,0.9532340153021672,0.8291828692352942
DL_New Delhi,0.6822510122938823,0.8219188627440918,0.8300709999720548
MP_Sidhi,0.7943715968067893,0.9569534928947478,0.8301047048836673
JH_Sahibganj,0.7909858224198005,0.9521285530318583,0.8307552797372458
TG_Ranga Reddy,0.8000110393146793,0.9610238103700545,0.8324570428766223
UP_Maharajganj,0.7855501681547586,0.9429674167760687,0.8330618366862482
TN_Thiruvallur,0.8237673489226116,0.9871965851874831,0.8344511734369159
JK_Anantnag,0.7748132762286394,0.9270374995310549,0.8357949668924735
JH_Dhanbad,0.7610022316084213,0.9093677184776764,0.8368476427581729
