state,weekid,dose1,dose2
Chandigarh,10,303750,8267
Chandigarh,11,83174,3923
Chandigarh,12,85000,12390
Chandigarh,13,45278,22711
Chandigarh,14,54367,77270
Chandigarh,15,86924,162825
Chandigarh,16,45448,111604
Chandigarh,17,32583,40986
Chandigarh,18,59022,334
Chandigarh,19,36084,578
Chandigarh,20,46963,471
Chandigarh,21,19783,4493
Chandigarh,22,236415,24532
Chandigarh,23,510210,36598
Chandigarh,24,104894,40919
Chandigarh,25,59108,32856
Chandigarh,26,82326,44761
Chandigarh,27,69473,49589
Chandigarh,28,150211,43390
Chandigarh,29,45271,14927
Chandigarh,30,28407,26677
Chandigarh,31,12033,19823
Chandigarh,32,12105,31805
Chhattisgarh,1,3242,0
Chhattisgarh,2,17993,0
Chhattisgarh,3,10893,0
Chhattisgarh,4,29275,334
Chhattisgarh,5,19365,11080
Chhattisgarh,6,7214,9588
Chhattisgarh,7,18629,7932
Chhattisgarh,8,25927,18620
Chhattisgarh,9,116361,19131
Chhattisgarh,10,303750,8267
Chhattisgarh,11,83174,3923
Chhattisgarh,12,85000,12390
Chhattisgarh,13,45278,22711
Chhattisgarh,14,54367,77270
Chhattisgarh,15,86924,162825
Chhattisgarh,16,45448,111604
Chhattisgarh,17,32583,40986
Chhattisgarh,18,59022,334
Chhattisgarh,19,36084,578
Chhattisgarh,20,46963,471
Chhattisgarh,21,19783,4493
Chhattisgarh,22,236415,24532
Chhattisgarh,23,510210,36598
Chhattisgarh,24,104894,40919
Chhattisgarh,25,59108,32856
Chhattisgarh,26,82326,44761
Chhattisgarh,27,69473,49589
Chhattisgarh,28,150211,43390
Chhattisgarh,29,45271,14927
Chhattisgarh,30,28407,26677
Chhattisgarh,31,12033,19823
Chhattisgarh,32,12105,31805
Dadra and Nagar Haveli and Daman and Diu,1,3242,0
Dadra and Nagar Haveli and Daman and Diu,2,17993,0
Dadra and Nagar Haveli and Daman and Diu,3,10893,0
Dadra and Nagar Haveli and Daman and Diu,4,29275,334
Dadra and Nagar Haveli and Daman and Diu,5,19365,11080
Dadra and Nagar Haveli and Daman and Diu,6,7214,9588
Dadra and Nagar Haveli and Daman and Diu,7,18629,7932
Dadra and Nagar Haveli and Daman and Diu,8,25927,18620
Dadra and Nagar Haveli and Daman and Diu,9,116361,19131
Dadra and Nagar Haveli and Daman and Diu,10,303750,8267
Dadra and Nagar Haveli and Daman and Diu,11,83174,3923
Dadra and Nagar Haveli and Daman and Diu,12,85000,12390
Dadra and Nagar Haveli and Daman and Diu,13,45278,22711
Dadra and Nagar Haveli and Daman and Diu,14,54367,77270
Dadra and Nagar Haveli and Daman and Diu,15,86924,162825
Dadra and Nagar Haveli and Daman and Diu,16,45448,111604
Dadra and Nagar Haveli and Daman and Diu,17,32583,40986
Dadra and Nagar Haveli and Daman and Diu,18,59022,334
