state,weekid,dose1,dose2
Rajasthan,11,83174,3923
Rajasthan,12,85000,12390
Rajasthan,13,45278,22711
Rajasthan,14,54367,77270
Rajasthan,15,86924,162825
Rajasthan,16,45448,111604
Rajasthan,17,32583,40986
Rajasthan,18,59022,334
Rajasthan,19,36084,578
Rajasthan,20,46963,471
Rajasthan,21,19783,4493
Rajasthan,22,236415,24532
Rajasthan,23,510210,36598
Rajasthan,24,104894,40919
Rajasthan,25,59108,32856
Rajasthan,26,82326,44761
Rajasthan,27,69473,49589
Rajasthan,28,150211,43390
Rajasthan,29,45271,14927
Rajasthan,30,28407,26677
Rajasthan,31,12033,19823
Rajasthan,32,12105,31805
Sikkim,1,3242,0
Sikkim,2,17993,0
Sikkim,3,10893,0
Sikkim,4,29275,334
Sikkim,5,19365,11080
Sikkim,6,7214,9588
Sikkim,7,18629,7932
Sikkim,8,25927,18620
Sikkim,9,116361,19131
Sikkim,10,303750,8267
Sikkim,11,83174,3923
Sikkim,12,85000,12390
Sikkim,13,45278,22711
Sikkim,14,54367,77270
Sikkim,15,86924,162825
Sikkim,16,45448,111604
Sikkim,17,32583,40986
Sikkim,18,59022,334
Sikkim,19,36084,578
Sikkim,20,46963,471
Sikkim,21,19783,4493
Sikkim,22,236415,24532
Sikkim,23,510210,36598
Sikkim,24,104894,40919
Sikkim,25,59108,32856
Sikkim,26,82326,44761
Sikkim,27,69473,49589
Sikkim,28,150211,43390
Sikkim,29,45271,14927
Sikkim,30,28407,26677
Sikkim,31,12033,19823
Sikkim,32,12105,31805
Tamil Nadu,1,3242,0
Tamil Nadu,2,17993,0
Tamil Nadu,3,10893,0
Tamil Nadu,4,29275,334
Tamil Nadu,5,19365,11080
Tamil Nadu,6,7214,9588
Tamil Nadu,7,18629,7932
Tamil Nadu,8,25927,18620
Tamil Nadu,9,116361,19131
Tamil Nadu,10,303750,8267
Tamil Nadu,11,83174,3923
Tamil Nadu,12,85000,12390
Tamil Nadu,13,45278,22711
Tamil Nadu,14,54367,77270
Tamil Nadu,15,86924,162825
Tamil Nadu,16,45448,111604
Tamil Nadu,17,32583,40986
Tamil Nadu,18,59022,334
Tamil Nadu,19,36084,578
Tamil Nadu,20,46963,471
Tamil Nadu,21,19783,4493
Tamil Nadu,22,236415,24532
Tamil Nadu,23,510210,36598
Tamil Nadu,24,104894,40919
Tamil Nadu,25,59108,32856
Tamil Nadu,26,82326,44761
Tamil Nadu,27,69473,49589
Tamil Nadu,28,150211,43390
Tamil Nadu,29,45271,14927
Tamil Nadu,30,28407,26677
Tamil Nadu,31,12033,19823
Tamil Nadu,32,12105,31805
Telangana,1,3242,0
Telangana,2,17993,0
Telangana,3,10893,0
Telangana,4,29275,334
Telangana,5,19365,11080
Telangana,6,7214,9588
Telangana,7,18629,7932
Telangana,8,25927,18620
Telangana,9,116361,19131
Telangana,10,303750,8267
Telangana,11,83174,3923
Telangana,12,85000,12390
Telangana,13,45278,22711
Telangana,14,54367,77270
Telangana,15,86924,162825
Telangana,16,45448,111604
Telangana,17,32583,40986
Telangana,18,59022,334
Telangana,19,36084,578
Telangana,20,46963,471
Telangana,21,19783,4493
Telangana,22,236415,24532
Telangana,23,510210,36598
Telangana,24,104894,40919
Telangana,25,59108,32856
Telangana,26,82326,44761
Telangana,27,69473,49589
Telangana,28,150211,43390
Telangana,29,45271,14927
Telangana,30,28407,26677
Telangana,31,12033,19823
Telangana,32,12105,31805
Tripura,1,3242,0
Tripura,2,17993,0
Tripura,3,10893,0
Tripura,4,29275,334
Tripura,5,19365,11080
Tripura,6,7214,9588
Tripura,7,18629,7932
Tripura,8,25927,18620
Tripura,9,116361,19131
Tripura,10,303750,8267
Tripura,11,83174,3923
Tripura,12,85000,12390
Tripura,13,45278,22711
Tripura,14,54367,77270
Tripura,15,86924,162825
Tripura,16,45448,111604
Tripura,17,32583,40986
Tripura,18,59022,334
Tripura,19,36084,578
Tripura,20,46963,471
Tripura,21,19783,4493
Tripura,22,236415,24532
Tripura,23,510210,36598
Tripura,24,104894,40919
Tripura,25,59108,32856
Tripura,26,82326,44761
Tripura,27,69473,49589
Tripura,28,150211,43390
Tripura,29,45271,14927
Tripura,30,28407,26677
Tripura,31,12033,19823
Tripura,32,12105,31805
Uttar Pradesh,1,3242,0
Uttar Pradesh,2,17993,0
Uttar Pradesh,3,10893,0
Uttar Pradesh,4,29275,334
Uttar Pradesh,5,19365,11080
Uttar Pradesh,6,7214,9588
Uttar Pradesh,7,18629,7932
Uttar Pradesh,8,25927,18620
Uttar Pradesh,9,116361,19131
Uttar Pradesh,10,303750,8267
Uttar Pradesh,11,83174,3923
Uttar Pradesh,12,85000,12390
Uttar Pradesh,13,45278,22711
Uttar Pradesh,14,54367,77270
Uttar Pradesh,15,86924,162825
Uttar Pradesh,16,45448,111604
Uttar Pradesh,17,32583,40986
Uttar Pradesh,18,59022,334
Uttar Pradesh,19,36084,578
Uttar Pradesh,20,46963,471
Uttar Pradesh,21,19783,4493
Uttar Pradesh,22,236415,24532
Uttar Pradesh,23,510210,36598
Uttar Pradesh,24,104894,40919
Uttar Pradesh,25,59108,32856
Uttar Pradesh,26,82326,44761
Uttar Pradesh,27,69473,49589
Uttar Pradesh,28,150211,43390
Uttar Pradesh,29,45271,14927
Uttar Pradesh,30,28407,26677
Uttar Pradesh,31,12033,19823
Uttar Pradesh,32,12105,31805
Uttarakhand,1,3242,0
Uttarakhand,2,17993,0
Uttarakhand,3,10893,0
Uttarakhand,4,29275,334
Uttarakhand,5,19365,11080
Uttarakhand,6,7214,9588
Uttarakhand,7,18629,7932
Uttarakhand,8,25927,18620
Uttarakhand,9,116361,19131
Uttarakhand,10,303750,8267
Uttarakhand,11,83174,3923
Uttarakhand,12,85000,12390
Uttarakhand,13,45278,22711
Uttarakhand,14,54367,77270
Uttarakhand,15,86924,162825
Uttarakhand,16,45448,111604
Uttarakhand,17,32583,40986
Uttarakhand,18,59022,334
Uttarakhand,19,36084,578
Uttarakhand,20,46963,471
Uttarakhand,21,19783,4493
Uttarakhand,22,236415,24532
Uttarakhand,23,510210,36598
Uttarakhand,24,104894,40919
Uttarakhand,25,59108,32856
Uttarakhand,26,82326,44761
Uttarakhand,27,69473,49589
Uttarakhand,28,150211,43390
Uttarakhand,29,45271,14927
Uttarakhand,30,28407,26677
Uttarakhand,31,12033,19823
Uttarakhand,32,12105,31805
West Bengal,1,3242,0
West Bengal,2,17993,0
West Bengal,3,10893,0
West Bengal,4,29275,334
West Bengal,5,19365,11080
West Bengal,6,7214,9588
West Bengal,7,18629,7932
West Bengal,8,25927,18620
West Bengal,9,116361,19131
West Bengal,10,303750,8267
West Bengal,11,83174,3923
West Bengal,12,85000,12390
West Bengal,13,45278,22711
West Bengal,14,54367,77270
West Bengal,15,86924,162825
West Bengal,16,45448,111604
West Bengal,17,32583,40986
West Bengal,18,59022,334
West Bengal,19,36084,578
West Bengal,20,46963,471
West Bengal,21,19783,4493
West Bengal,22,236415,24532
West Bengal,23,510210,36598
West Bengal,24,104894,40919
West Bengal,25,59108,32856
West Bengal,26,82326,44761
West Bengal,27,69473,49589
West Bengal,28,150211,43390
West Bengal,29,45271,14927
West Bengal,30,28407,26677
West Bengal,31,12033,19823
West Bengal,32,12105,31805
